year,month,company_0,company_1,company_2,company_3,company_4,company_5,company_6,company_7,company_8,company_9
2000,March,0,3,42,39,13,42,32,3,19,6
2000,April,14,44,7,20,14,36,0,36,8,3
2000,May,16,22,35,49,15,47,4,16,21,21
2000,June,6,43,45,19,3,0,28,8,33,13
2000,July,37,48,10,37,50,48,39,5,27,18
2000,August,48,1,31,25,35,47,23,42,0,45
2000,September,25,45,41,42,3,50,33,26,5,38
2000,October,4,37,21,31,29,44,25,35,2,37
2000,November,8,40,44,43,,6,35,8,10,0
2000,December,16,45,9,25,0,49,2,31,16,15
2001,January,38,1,5,35,35,50,11,3,37,28
2001,February,31,7,8,29,11,17,19,26,6,38
2001,March,17,24,16,14,25,20,2,1,32,2
2001,April,25,30,19,47,43,11,27,13,0,46
2001,May,47,13,7,35,30,15,34,42,17,39
2001,June,22,28,41,20,0,47,25,24,25,3
2001,July,15,30,33,26,2,0,8,34,11,4
2001,August,0,8,16,20,47,22,24,5,22,5
2001,September,20,42,40,16,30,15,12,24,4,47
2001,October,20,27,42,14,8,42,43,28,6,29
2001,November,2,15,13,7,45,18,3,40,15,11
2001,December,11,0,45,10,19,9,39,10,48,50
2002,January,44,7,4,20,48,35,5,8,5,27
2002,February,35,20,37,47,36,39,0,19,44,23
2002,March,37,23,13,39,31,2,2,34,50,49
2002,April,21,22,3,22,26,22,18,49,2,14
2002,May,1,19,26,50,7,21,28,9,15,39
2002,June,18,36,47,42,32,29,36,38,14,1
2002,July,25,2,25,39,5,18,31,22,18,6
2002,August,49,4,15,14,31,50,48,24,28,25
2002,September,14,7,1,17,18,27,10,24,21,37
2002,October,26,2,14,44,33,22,26,32,30,8
2002,November,42,41,21,37,38,28,42,43,31,12
2002,December,49,18,23,5,46,28,13,2,12,13
2003,January,9,13,9,40,20,1,28,12,30,17
2003,February,13,15,19,10,31,28,26,18,29,8
2003,March,27,14,3,11,26,8,19,50,41,45
2003,April,43,36,1,19,14,21,4,10,22,49
2003,May,44,34,29,10,25,5,15,28,7,39
2003,June,49,42,46,6,32,31,42,0,29,50
2003,July,1,29,27,26,33,24,22,47,11,46
2003,August,10,22,8,13,48,32,16,29,35,37
2003,September,36,37,33,23,30,44,4,35,48,49
2003,October,11,1,22,39,1,23,36,34,19,1
2003,November,37,15,5,14,18,11,3,21,49,35
2003,December,34,34,31,1,16,16,8,21,41,44
2004,January,42,23,20,3,37,26,50,10,32,40
2004,February,17,13,21,40,34,36,48,33,22,12
2004,March,2,13,26,38,6,32,3,46,34,24
2004,April,11,20,9,37,20,14,34,30,41,41
2004,May,30,14,18,1,22,6,21,25,42,4
2004,June,7,39,49,3,3,47,9,22,15,4
2004,July,8,3,3,12,8,50,38,47,25,11
2004,August,18,8,4,49,21,5,31,45,46,26
2004,September,35,6,2,35,17,15,4,7,27,25
2004,October,44,44,0,19,20,41,50,13,46,31
2004,November,47,30,36,2,12,6,46,49,27,23
2004,December,40,3,25,16,15,42,27,47,30,28
